net,length_um
net41,5.555µm
_164_,5.36µm
_072_,5.34µm
_206_,5.34µm
deserializer_u2.temp_3b\[1\],5.34µm
serializer_u2.temp_6b\[1\],5.34µm
_070_,5.305µm
net80,5.305µm
data_8bit_in[4],5.29µm
_143_,5.26µm
net115,5.26µm
_132_,5.22µm
_015_,5.16µm
_147_,5.15µm
net83,5.14µm
_154_,5.12µm
_121_,5.1µm
_171_,5.1µm
net37,5.095µm
data_8bit_in[1],4.95µm
data_8bit_in[3],4.95µm
net79,4.92µm
_148_,4.9µm
_204_,4.88µm
_205_,4.88µm
net2,4.82µm
net1,4.76µm
_031_,4.7µm
_073_,4.7µm
net68,4.66µm
_049_,4.625µm
data_8bit_out[5],4.61µm
_197_,4.48µm
net93,4.48µm
_037_,4.46µm
_198_,4.46µm
deserializer_u2.temp_3b\[2\],4.46µm
_021_,4.42µm
_184_,4.42µm
deserializer_u2.temp_5b\[3\],4.42µm
net8,4.42µm
net36,4.42µm
net33,4.385µm
net11,4.34µm
data_8bit_out[1],4.27µm
net64,4.24µm
net43,4.125µm
_173_,4.12µm
_195_,4.025µm
net49,4.02µm
_036_,4µm
_054_,4µm
_130_,4µm
_135_,4µm
_175_,4µm
_203_,4µm
serializer_u3.shift_reg\[3\],4µm
_077_,3.965µm
serializer_u3.shift_reg\[4\],3.9µm
_179_,3.88µm
_202_,3.88µm
_085_,3.78µm
net84,3.78µm
_090_,3.76µm
_079_,3.735µm
net116,3.68µm
_112_,3.66µm
_176_,3.66µm
_038_,3.56µm
controller_unit.q\[1\],3.56µm
serializer_u2.temp_6b\[4\],3.56µm
_013_,3.54µm
_002_,3.465µm
net111,3.465µm
_188_,3.44µm
_007_,3.42µm
_109_,3.42µm
_145_,3.42µm
_194_,3.42µm
_050_,3.32µm
_001_,3.245µm
_083_,3.245µm
net60,3.245µm
_156_,3.22µm
_172_,3.08µm
net74,3.08µm
net35,3.055µm
_069_,3.005µm
_010_,2.96µm
_012_,2.96µm
_138_,2.96µm
_177_,2.96µm
_200_,2.96µm
net4,2.96µm
net76,2.96µm
_075_,2.915µm
_024_,2.86µm
_078_,2.835µm
_056_,2.785µm
_058_,2.785µm
_061_,2.785µm
net47,2.785µm
_150_,2.64µm
data_10b_out\[9\],2.62µm
serializer_u2.temp_4b\[0\],2.62µm
serializer_u2.temp_4b\[2\],2.62µm
serializer_u2.temp_6b\[0\],2.62µm
serializer_u2.temp_6b\[5\],2.62µm
serializer_u3.shift_reg\[6\],2.62µm
net95,2.62µm
_047_,2.585µm
_052_,2.585µm
_003_,2.545µm
_032_,2.545µm
_053_,2.52µm
_011_,2.5µm
_111_,2.5µm
_045_,2.42µm
net53,2.4µm
net107,2.375µm
_060_,2.325µm
_068_,2.325µm
net118,2.3µm
net119,2.3µm
_008_,2.18µm
_009_,2.16µm
_041_,2.16µm
_139_,2.16µm
serializer_u3.shift_reg\[7\],2.16µm
serializer_u3.shift_reg\[9\],2.16µm
_048_,2.125µm
_082_,2.125µm
_084_,2.125µm
_033_,2.085µm
net105,2.08µm
_152_,2.06µm
_187_,2.04µm
_189_,2.04µm
_029_,2.025µm
_044_,2.025µm
_067_,2.025µm
_000_,1.865µm
_059_,1.865µm
_064_,1.865µm
_065_,1.865µm
net45,1.865µm
net50,1.865µm
_006_,1.84µm
_087_,1.84µm
_186_,1.84µm
net77,1.84µm
net86,1.84µm
_124_,1.82µm
_020_,1.7µm
_116_,1.7µm
controller_unit.counter\[2\],1.7µm
serializer_u2.temp_4b\[1\],1.7µm
serializer_u2.temp_6b\[3\],1.7µm
net3,1.7µm
_018_,1.685µm
_081_,1.685µm
net88,1.685µm
net103,1.685µm
_142_,1.48µm
net39,1.405µm
net48,1.38µm
_043_,1.26µm
deserializer_u2.temp_5b\[4\],1.26µm
serializer_u3.shift_reg\[5\],1.26µm
net92,1.02µm
_178_,0.92µm
_019_,0.8µm
deserializer_u2.temp_5b\[2\],0.8µm
serializer_u3.shift_reg\[2\],0.8µm
net40,0.46µm
net112,0.46µm
